model,model_label,n_seeds,training_images,external_test_images,class_id,class,n_gt,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap50_mean,ap50_std,ap50_95_mean,ap50_95_std,miss_rate_mean,miss_rate_std,false_discovery_rate_mean,false_discovery_rate_std,fppi_mean,fppi_std,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,f1_ci95_low,f1_ci95_high,ap50_ci95_low,ap50_ci95_high,miss_rate_ci95_low,miss_rate_ci95_high,false_discovery_rate_ci95_low,false_discovery_rate_ci95_high,fppi_ci95_low,fppi_ci95_high
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,0,Damage,20,0.2481021394064872,0.12568832526093615,0.7166666666666667,0.15275252316519464,0.34487734487734495,0.09945871744009514,0.6539693666337031,0.10908291862623745,0.5405103842938837,0.08626932085021603,0.2833333333333333,0.15275252316519464,0.7518978605935128,0.12568832526093615,0.5566666666666666,0.3348631561299829,0.2083931426381725,0.31151267187474074,0.5873015873015873,0.8637121212121208,0.28935393539353943,0.4107396797778003,0.5559089665871558,0.7739647970312373,0.1362878787878788,0.41269841269841273,0.6884873281252591,0.7916068573618275,0.37800687285223367,0.7327057946179233
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,1,Normal,582,0.9886266545945078,0.004236806053709214,0.9392898052691866,0.026414324301489593,0.9631632899270683,0.012370868629197633,0.9983545326857355,0.0001342804531275058,0.9550622640095902,0.008149033573039878,0.060710194730813294,0.026414324301489593,0.01137334540549225,0.004236806053709215,0.06333333333333334,0.025166114784235832,0.9809411155109286,0.9956874206633488,0.9203389830508475,0.9586247086247086,0.9528705740470867,0.9738637066878196,0.9975376705940149,0.9991356712624592,0.04137529137529139,0.07966101694915255,0.004312579336651106,0.019058884489071455,0.024048846342660777,0.10774410774410774
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,0,Damage,20,0.114161006380686,0.01748062857120084,1.0,0.0,0.20463259946919407,0.02817661208550766,0.5554691335755678,0.061195564778016506,0.4842261718248945,0.05769277358345804,0.0,0.0,0.885838993619314,0.017480628571200835,1.58,0.27622454633866267,0.10657058562146522,0.12549966216588945,1.0,1.0,0.19235048992704648,0.22245396355299538,0.46968545137326007,0.6508197587876321,0.0,0.0,0.8745003378341105,0.8934294143785347,1.2851374570446734,1.8544149374960337
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,1,Normal,582,0.9869830913781091,0.008803841593418148,0.9398625429553266,0.038916672346756415,0.9624787680940005,0.018071162871892685,0.9932274833910543,0.005838210216476087,0.9606148143717869,0.006190767396163394,0.06013745704467355,0.038916672346756415,0.01301690862189083,0.008803841593418148,0.07333333333333332,0.050332229568471665,0.9810834224449815,0.9928872511510571,0.9290176036342986,0.9499143307884313,0.9564608702504549,0.9680979629075879,0.9912724298921063,0.9962508452788544,0.05008566921156865,0.07098239636570129,0.007112748848942904,0.018916577555018545,0.04,0.10774410774410774
fcos_r50_fpn,FCOS R50-FPN,3,100,100,0,Damage,20,0.15374406046422096,0.18658626918994622,0.48333333333333334,0.4804511768466524,0.15291771101115334,0.1991382053317148,0.19424364213658776,0.21486176313740715,0.1705761345554971,0.18657837291305956,0.5166666666666666,0.4804511768466525,0.846255939535779,0.1865862691899462,9.983333333333334,17.08380617231808,0.09418293193757517,0.2652291873141719,0.4444444444444444,0.5263157894736842,0.10916303440426962,0.20776101575643785,0.16989853031192909,0.2637579730378374,0.47368421052631576,0.5555555555555556,0.697198522744084,0.9058170680624249,9.907202749140893,10.04950495049505
fcos_r50_fpn,FCOS R50-FPN,3,100,100,1,Normal,582,0.9367580816110227,0.07008625169155445,0.9959908361970218,0.004324074705195145,0.9644615552141801,0.036562993970754874,0.9936467615771313,0.0033675243430277527,0.9628282114418244,0.005223345664362479,0.004009163802978222,0.004324074705195145,0.06324191838897723,0.07008625169155445,0.4166666666666667,0.4880915214724932,0.9282065985185082,0.9457187474065429,0.9938063063063063,0.998236331569665,0.9595235371114128,0.9694869518397998,0.990194618242985,0.9973555863156628,0.0017636684303351153,0.006193693693693714,0.054281252593457,0.07179340148149171,0.35333333333333333,0.4833415032679737
rtdetr_l,RT-DETR-L,3,100,100,0,Damage,20,0.20343137254901963,0.3001813657848788,0.5000000000000001,0.42720018726587655,0.2170859538784067,0.28883032955547777,0.21422658260459826,0.24637180033883765,0.1953869412765293,0.22256685040045981,0.5,0.42720018726587655,0.7965686274509803,0.3001813657848788,1.7999999999999998,2.706159640523818,0.17529179577984358,0.23374766058992016,0.4544563279857398,0.543859649122807,0.1929332645444036,0.2388170326340903,0.20424882260253008,0.2758740051126389,0.456140350877193,0.5455436720142597,0.6703775462224387,0.8223126117867376,1.3711243775860857,2.260874587458745
rtdetr_l,RT-DETR-L,3,100,100,1,Normal,582,0.5082509311381794,0.23634059053432,0.9043528064146621,0.08489665046363247,0.6334462429781024,0.2315159653660141,0.7665859504548118,0.23752994748466877,0.7181052325953128,0.2114926134340193,0.09564719358533791,0.08489665046363247,0.4917490688618205,0.23634059053432,7.126666666666666,7.054461944991505,0.4928716256537488,0.5229590781770768,0.8885153588462412,0.9198611875216497,0.6210850462328613,0.6456636792927304,0.7534565724771886,0.784587859250253,0.08013881247835035,0.11148464115375878,0.4770409218229231,0.5071283743462511,6.666666666666667,7.642857142857142
yolo11m,YOLO11m,3,100,100,0,Damage,20,0.29115019009166354,0.07993417657117458,0.9333333333333332,0.07637626158259735,0.4388227358078443,0.09245661584703867,0.6588163695094436,0.14295427290173318,0.619210515228939,0.12122810129735521,0.0666666666666667,0.07637626158259735,0.7088498099083363,0.07993417657117459,0.49333333333333335,0.2193931022920578,0.24782335542860529,0.35242020800362583,0.9,0.966706349206349,0.38802026042611076,0.5025128652251414,0.5572979681582707,0.7744471810518255,0.03329365079365079,0.10000000000000002,0.6475797919963742,0.7521766445713948,0.37373737373737376,0.6133594771241828
yolo11m,YOLO11m,3,100,100,1,Normal,582,0.996954851597784,0.0009980779249053138,0.9324169530355096,0.03454989950024207,0.9633797916882664,0.01802642605565821,0.9535814430467786,0.03015193793675875,0.9336115476040491,0.028749111892867843,0.06758304696449025,0.03454989950024207,0.0030451484022159616,0.0009980779249053138,0.016666666666666666,0.005773502691896258,0.9926713692218265,1.0,0.9162477640039473,0.9488569128134345,0.9534927160445397,0.9728240952477395,0.936969685803938,0.9636384219119072,0.051143087186565496,0.08375223599605269,0.0,0.007328630778173455,0.0,0.04
