model,model_label,n_seeds,training_images,external_test_images,class_id,class,n_gt,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ap50_mean,ap50_std,ap50_95_mean,ap50_95_std,miss_rate_mean,miss_rate_std,false_discovery_rate_mean,false_discovery_rate_std,fppi_mean,fppi_std,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,f1_ci95_low,f1_ci95_high,ap50_ci95_low,ap50_ci95_high,miss_rate_ci95_low,miss_rate_ci95_high,false_discovery_rate_ci95_low,false_discovery_rate_ci95_high,fppi_ci95_low,fppi_ci95_high
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,0,Deformed,3,0.035868005738880916,0.031465871161350516,0.3333333333333333,0.3333333333333333,0.06363636363636364,0.05529784118452927,0.2102890347463526,0.19039447038051494,0.18662324292055898,0.1720720921694523,0.6666666666666666,0.3333333333333333,0.9461979913916786,0.007101502823968175,0.18333333333333335,0.19604421270043484,0.015151515151515152,0.06198830409356725,0.3333333333333333,0.3333333333333333,0.028985507246376815,0.10085470085470087,0.13890890998749872,0.39841269841269833,0.6666666666666666,0.6666666666666666,0.9070175438596492,0.9772727272727273,0.13058419243986255,0.23202614379084965
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,1,Displaced,6,0.06226851851851852,0.03486313997342443,0.3333333333333333,0.28867513459481287,0.1032926519196542,0.06305615916397242,0.10986277695556819,0.04524977160288877,0.09776738053917644,0.04575888545522457,0.6666666666666666,0.2886751345948129,0.9377314814814816,0.03486313997342441,0.27999999999999997,0.09848857801796103,0.011484674329501916,0.10855377668249899,0.08333333333333333,0.5714285714285714,0.0196078431372549,0.17969287079238477,0.07164039013457119,0.2432250684216645,0.42857142857142855,0.9166666666666666,0.891446223317501,0.988515325670498,0.1924398625429553,0.37254901960784315
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,2,Fractured,2,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.9174917491749174,0.14290848247267965,0.829950495049505,0.121329301619305,0.0,0.0,0.5,0.0,0.02,0.0,0.37777777777777777,0.8333333333333334,1.0,1.0,0.5476190476190477,0.8888888888888888,0.7777777777777778,1.0,0.0,0.0,0.16666666666666666,0.6222222222222222,0.006802721088435374,0.03300330033003301
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,3,Inverted,4,0.2438095238095238,0.294789213289952,0.6666666666666666,0.5773502691896258,0.33437826541274823,0.3671505330156363,0.7667373880245169,0.36199739831359995,0.7085454974068837,0.34811090494225083,0.3333333333333333,0.5773502691896258,0.6342857142857143,0.2909239328310367,0.08,0.11357816691600547,0.16422287390029325,0.40740740740740744,0.6666666666666666,0.6666666666666666,0.25396825396825395,0.45454545454545453,0.6851587694483734,0.9174917491749174,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.7536656891495601,0.04713804713804714,0.11437908496732026
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,4,Missing,5,0.7777777777777778,0.09622504486493767,0.9333333333333332,0.11547005383792514,0.8484848484848485,0.10497277621629562,0.9504950495049505,0.0857450894836078,0.7306600660066006,0.061847542008064554,0.06666666666666665,0.11547005383792512,0.2222222222222222,0.09622504486493767,0.013333333333333334,0.005773502691896258,0.6476190476190476,0.9333333333333332,0.8571428571428571,1.0,0.7757575757575758,0.9333333333333332,0.8881888188818884,1.0,0.0,0.14285714285714288,0.06666666666666665,0.3523809523809524,0.0033333333333333335,0.023809523809523808
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,3,100,100,5,Normal,582,0.9886266545945078,0.004236806053709214,0.9392898052691866,0.026414324301489593,0.9631632899270683,0.012370868629197633,0.9983545326857355,0.0001342804531275058,0.9550622640095902,0.008149033573039878,0.060710194730813294,0.026414324301489593,0.01137334540549225,0.004236806053709215,0.06333333333333334,0.025166114784235832,0.9809411155109286,0.9956874206633488,0.9203389830508475,0.9586247086247086,0.9528705740470867,0.9738637066878196,0.9975376705940149,0.9991356712624592,0.04137529137529139,0.07966101694915255,0.004312579336651106,0.019058884489071455,0.024048846342660777,0.10774410774410774
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,0,Deformed,3,0.0557609002730954,0.016424910460772536,1.0,0.0,0.10532687651331718,0.029389578003267,0.505916113589381,0.15211083433795095,0.46956415696514714,0.12280220298248924,0.0,0.0,0.9442390997269046,0.016424910460772497,0.54,0.16522711641858304,0.0335467961737292,0.08427382725301187,1.0,1.0,0.06483841489602611,0.15469930239558582,0.29572649572649573,0.8074807480748074,0.0,0.0,0.9157261727469882,0.9664532038262708,0.40204432288379266,0.6764730149485536
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,1,Displaced,6,0.06385098548841238,0.0025410455925600987,0.9444444444444445,0.0962250448649376,0.119584803307917,0.0050730896415154166,0.11345871057124873,0.02263275066391759,0.10518430926272475,0.020513903873843057,0.055555555555555546,0.0962250448649376,0.9361490145115875,0.0025410455925600713,0.8300000000000001,0.06557438524302,0.05146965083463035,0.0772370069710458,0.8571428571428571,1.0,0.09758487978225895,0.14279427708618078,0.08175972646757794,0.22647961432709837,0.0,0.14285714285714288,0.9227629930289541,0.9485303491653696,0.6944372852233678,0.9509803921568628
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,2,Fractured,2,0.46527777777777773,0.48247649146338195,0.8333333333333334,0.28867513459481287,0.42810457516339867,0.28148240892351445,0.8624862486248626,0.12603343495478106,0.7762376237623761,0.11343009145930301,0.16666666666666666,0.2886751345948129,0.5347222222222222,0.4824764914633819,0.11333333333333333,0.16289055630494154,0.08888888888888889,0.6837606837606837,0.6666666666666666,1.0,0.1527777777777778,0.6991869918699187,0.6333333333333333,1.0,0.0,0.3333333333333333,0.3162393162393162,0.8666666666666667,0.0782312925170068,0.1447811447811448
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,3,Inverted,4,0.4468599033816425,0.25063805715170556,0.9166666666666666,0.14433756729740646,0.5654320987654321,0.25362484130705587,0.88998899889989,0.09669084615647387,0.843069306930693,0.093060090127149,0.08333333333333333,0.14433756729740646,0.5531400966183575,0.25063805715170556,0.08,0.09539392014169457,0.3138888888888889,0.7407407407407408,0.75,1.0,0.4507747807747808,0.7402597402597402,0.8166483314998166,1.0,0.0,0.25,0.25925925925925924,0.6861111111111112,0.0457405292213973,0.11669117647058812
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,4,Missing,5,0.6712962962962964,0.1445601388518148,1.0,0.0,0.7975357975357976,0.10043976777792653,1.0,0.0,0.8385588558855884,0.009868391513127031,0.0,0.0,0.32870370370370366,0.14456013885181476,0.02666666666666667,0.015275252316519468,0.5899470899470899,0.8222222222222223,1.0,1.0,0.738095238095238,0.8962962962962964,1.0,1.0,0.0,0.0,0.17777777777777778,0.41005291005291006,0.01009848484848485,0.04575163398692811
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,3,100,100,5,Normal,582,0.9869830913781091,0.008803841593418148,0.9398625429553266,0.038916672346756415,0.9624787680940005,0.018071162871892685,0.9932274833910543,0.005838210216476087,0.9606148143717869,0.006190767396163394,0.06013745704467355,0.038916672346756415,0.01301690862189083,0.008803841593418148,0.07333333333333332,0.050332229568471665,0.9810834224449815,0.9928872511510571,0.9290176036342986,0.9499143307884313,0.9564608702504549,0.9680979629075879,0.9912724298921063,0.9962508452788544,0.05008566921156865,0.07098239636570129,0.007112748848942904,0.018916577555018545,0.04,0.10774410774410774
fcos_r50_fpn,FCOS R50-FPN,3,100,100,0,Deformed,3,0.0016722408026755853,0.002896406032723875,0.3333333333333333,0.5773502691896258,0.0033277870216306157,0.005763896198232536,0.07157123427449623,0.07342114945941323,0.06570833237446251,0.06614204461109702,0.6666666666666666,0.5773502691896258,0.9983277591973244,0.002896406032723873,2.0066666666666664,3.4150597847377924,0.0011037527593818985,0.0022522522522522522,0.3333333333333333,0.3333333333333333,0.0022002200220022005,0.0044742729306487695,0.05436715973811235,0.16657146885395951,0.6666666666666666,0.6666666666666666,0.9974315068493151,0.9988962472406181,1.9897932884494003,2.0233333333333334
fcos_r50_fpn,FCOS R50-FPN,3,100,100,1,Displaced,6,0.08668341708542714,0.14152555097489644,0.3888888888888889,0.5357583756107198,0.07330016583747927,0.1101755119476117,0.08614549757592231,0.06954676791680696,0.07511088780207135,0.058848905208649625,0.6111111111111112,0.5357583756107197,0.913316582914573,0.14152555097489644,1.9933333333333334,3.391936516701534,0.002287021154945683,0.3367233077225596,0.3333333333333333,0.4761904761904762,0.0045428733674048845,0.17424335112956643,0.04661377462410995,0.21951539148884897,0.5238095238095238,0.6666666666666666,0.6627185561195713,0.9977129788450543,1.9690641108247422,2.0194174757281553
fcos_r50_fpn,FCOS R50-FPN,3,100,100,2,Fractured,2,0.0011129660545353367,0.001927713753554677,0.3333333333333333,0.5773502691896258,0.0022185246810870773,0.0038425974654883576,0.15407673171498337,0.1320379924096045,0.1401010222973517,0.11967649317191821,0.6666666666666666,0.5773502691896258,0.9988870339454646,0.0019277137535546694,2.01,3.4294751785076385,0.0010787486515641857,0.0011494252873563218,0.3333333333333333,0.3333333333333333,0.002150537634408602,0.002290950744558992,0.11224475407760398,0.33457019171304897,0.6666666666666666,0.6666666666666666,0.9982903780068728,0.9989212513484359,2.0,2.01980198019802
fcos_r50_fpn,FCOS R50-FPN,3,100,100,3,Inverted,4,0.06889632107023412,0.11358836440805847,0.4166666666666667,0.5204164998665332,0.07850375292235758,0.1246410784472547,0.14825956467060783,0.15666464585179488,0.13909922677874387,0.14825839257413734,0.5833333333333334,0.5204164998665333,0.931103678929766,0.11358836440805846,2.0033333333333334,3.409257006054741,0.0021822149481723952,0.16896551724137931,0.3333333333333333,0.5833333333333334,0.004336043360433604,0.19509799707481684,0.12338823544109678,0.27636653306191594,0.4166666666666667,0.6666666666666666,0.829884307846077,0.9978177850518276,1.986111111111111,2.022441343042071
fcos_r50_fpn,FCOS R50-FPN,3,100,100,4,Missing,5,0.3361157484696717,0.5749557754288305,0.6,0.5291502622129182,0.3018150600932058,0.5084882378568565,0.38774934986847787,0.535260247824038,0.3293269449423553,0.4372788457730694,0.39999999999999997,0.5291502622129182,0.4958263772954925,0.7012043873536047,1.9800000000000002,3.429460598986377,0.3355335533553356,0.3371584699453552,0.4166666666666667,0.6666666666666666,0.13784545967287085,0.34081196581196577,0.3631711418684203,0.43390539968673547,0.3333333333333333,0.5833333333333334,0.49426229508196723,0.4966996699669967,1.9708737864077668,1.9866699669966996
fcos_r50_fpn,FCOS R50-FPN,3,100,100,5,Normal,582,0.9367580816110227,0.07008625169155445,0.9959908361970218,0.004324074705195145,0.9644615552141801,0.036562993970754874,0.9936467615771313,0.0033675243430277527,0.9628282114418244,0.005223345664362479,0.004009163802978222,0.004324074705195145,0.06324191838897723,0.07008625169155445,0.4166666666666667,0.4880915214724932,0.9282065985185082,0.9457187474065429,0.9938063063063063,0.998236331569665,0.9595235371114128,0.9694869518397998,0.990194618242985,0.9973555863156628,0.0017636684303351153,0.006193693693693714,0.054281252593457,0.07179340148149171,0.35333333333333333,0.4833415032679737
rtdetr_l,RT-DETR-L,3,100,100,0,Deformed,3,0.006578947368421052,0.011395071102426824,0.3333333333333333,0.5773502691896258,0.012903225806451613,0.022349042678308093,0.056755067464902755,0.04499048795431369,0.0528725806001108,0.04395573096659593,0.6666666666666666,0.5773502691896258,0.9901315789473684,0.013956054891839757,0.6066666666666667,0.7825811991949037,0.0043859649122807015,0.008830022075055188,0.3333333333333333,0.3333333333333333,0.008658008658008658,0.01720430107526882,0.036961191487603566,0.2029267162627958,0.6666666666666666,0.6666666666666666,0.974025974025974,0.9933774834437086,0.42087542087542085,0.8646864686468647
rtdetr_l,RT-DETR-L,3,100,100,1,Displaced,6,0.011337868480725625,0.019637764258150538,0.2777777777777778,0.4811252243246882,0.02178649237472767,0.03773531171174025,0.13404612653689393,0.06238260022115373,0.12097936492172716,0.05831415042634911,0.7222222222222222,0.4811252243246882,0.9659863945578231,nan,0.47333333333333333,0.8198373822492685,0.007936507936507936,0.016551418439716296,0.19047619047619047,0.3333333333333333,0.015325670498084294,0.031531531531531536,0.05521429918735102,0.30883533213140296,0.6666666666666666,0.8095238095238096,0.9503457446808511,0.9761904761904762,0.39057239057239057,0.5556105610561053
rtdetr_l,RT-DETR-L,3,100,100,2,Fractured,2,0.0,0.0,0.0,0.0,0.0,0.0,0.22566626963448225,0.3490755885333772,0.22566626963448225,0.3490755885333772,1.0,0.0,1.0,nan,0.2333333333333333,0.40414518843273806,0.0,0.0,0.0,0.0,0.0,0.0,0.07531804083528225,0.36543405396346573,1.0,1.0,1.0,1.0,0.15986394557823128,0.30363036303630364
rtdetr_l,RT-DETR-L,3,100,100,3,Inverted,4,0.009259259259259259,0.016037507477489603,0.16666666666666666,0.2886751345948129,0.017543859649122806,0.0303868562731382,0.04426396661648463,0.014670742704816745,0.041988529335457735,0.013379366164991144,0.8333333333333334,0.28867513459481287,0.9861111111111112,0.019641855032959663,0.25666666666666665,0.38552993831002713,0.0,0.018018018018018018,0.0,0.3333333333333333,0.0,0.03418803418803419,0.03910338202586621,0.16924772904855145,0.6666666666666666,1.0,0.9508196721311475,1.0,0.18023266007433902,0.3333333333333333
rtdetr_l,RT-DETR-L,3,100,100,4,Missing,5,0.08599033816425121,0.10290195272324093,0.5333333333333333,0.46188021535170065,0.14270270270270272,0.16278080194351321,0.3689302374037458,0.25742218797962596,0.3376238115388451,0.23674299189770898,0.4666666666666666,0.46188021535170065,0.8710144927536232,0.10042965877721974,0.27,0.338673884437522,0.07017520604267827,0.1064355253832668,0.4166666666666667,0.6666666666666666,0.12034188034188036,0.16803492135995152,0.31692699618892467,0.5639338588614541,0.3333333333333333,0.5833333333333334,0.8403467119250998,0.8947371909359826,0.20538720538720537,0.3333333333333333
rtdetr_l,RT-DETR-L,3,100,100,5,Normal,582,0.5082509311381794,0.23634059053432,0.9043528064146621,0.08489665046363247,0.6334462429781024,0.2315159653660141,0.7665859504548118,0.23752994748466877,0.7181052325953128,0.2114926134340193,0.09564719358533791,0.08489665046363247,0.4917490688618205,0.23634059053432,7.126666666666666,7.054461944991505,0.4928716256537488,0.5229590781770768,0.8885153588462412,0.9198611875216497,0.6210850462328613,0.6456636792927304,0.7534565724771886,0.784587859250253,0.08013881247835035,0.11148464115375878,0.4770409218229231,0.5071283743462511,6.666666666666667,7.642857142857142
yolo11m,YOLO11m,3,100,100,0,Deformed,3,0.3686868686868687,0.11768868886597016,1.0,0.0,0.5317460317460317,0.12218098665349723,0.927062706270627,0.06802443765699566,0.8983498349834983,0.049646661857156285,0.0,0.0,0.6313131313131314,0.11768868886597016,0.05666666666666667,0.025166114784235832,0.30264550264550266,0.75,1.0,1.0,0.4597858282068809,0.7999999999999999,0.8624862486248626,1.0,0.0,0.0,0.25,0.6973544973544974,0.017002508073936645,0.09666666666666668
yolo11m,YOLO11m,3,100,100,1,Displaced,6,0.0999088630667578,0.03719783404805607,0.7222222222222222,0.2545875386086578,0.1720786890879024,0.05490002764150094,0.1469448258369836,0.024306492640829503,0.13871148786232665,0.023017351933411548,0.2777777777777778,0.2545875386086578,0.9000911369332423,0.037197834048056024,0.4333333333333333,0.24583192089989722,0.07828050954541124,0.13136631378622227,0.5555555555555555,0.9166666666666666,0.13475588350319662,0.21759433606989528,0.10013214296813965,0.39487718964204094,0.08333333333333333,0.4444444444444445,0.8686336862137778,0.9217194904545887,0.32673267326732675,0.5466731391585761
yolo11m,YOLO11m,3,100,100,2,Fractured,2,0.7222222222222222,0.2545875386086578,0.8333333333333334,0.28867513459481287,0.7666666666666666,0.2516611478423583,0.9174917491749174,0.14290848247267965,0.9174917491749174,0.14290848247267965,0.16666666666666666,0.2886751345948129,0.2777777777777778,0.2545875386086578,0.006666666666666667,0.005773502691896258,0.5,1.0,0.6666666666666666,1.0,0.5555555555555555,1.0,0.7777777777777778,1.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0196078431372549
yolo11m,YOLO11m,3,100,100,3,Inverted,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9545379537953794,0.015557345854344715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo11m,YOLO11m,3,100,100,4,Missing,5,0.9444444444444445,0.0962250448649376,1.0,0.0,0.9696969696969697,0.05248638810814781,1.0,0.0,0.9051155115511551,0.0658105587092013,0.0,0.0,0.055555555555555546,0.0962250448649376,0.0033333333333333335,0.005773502691896258,0.9,1.0,1.0,1.0,0.9411764705882352,1.0,1.0,1.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.00980392156862745
yolo11m,YOLO11m,3,100,100,5,Normal,582,0.996954851597784,0.0009980779249053138,0.9324169530355096,0.03454989950024207,0.9633797916882664,0.01802642605565821,0.9535814430467786,0.03015193793675875,0.9336115476040491,0.028749111892867843,0.06758304696449025,0.03454989950024207,0.0030451484022159616,0.0009980779249053138,0.016666666666666666,0.005773502691896258,0.9926713692218265,1.0,0.9162477640039473,0.9488569128134345,0.9534927160445397,0.9728240952477395,0.936969685803938,0.9636384219119072,0.051143087186565496,0.08375223599605269,0.0,0.007328630778173455,0.0,0.04
yolov10m,YOLOv10m,3,100,100,0,Deformed,3,0.3833333333333333,0.20207259421636903,0.7777777777777777,0.3849001794597505,0.442512077294686,0.20621173444566723,0.764026402640264,0.11933500073772063,0.7472772277227723,0.10751040374330165,0.22222222222222224,0.3849001794597506,0.6166666666666667,0.202072594216369,0.07,0.08717797887081348,0.159974358974359,0.46732026143790845,0.6666666666666666,0.8333333333333334,0.24380952380952384,0.5303030303030303,0.7031742102781706,1.0,0.16666666666666666,0.3333333333333333,0.49981060606060607,0.7600384615384613,0.03626409515951596,0.10561056105610561
yolov10m,YOLOv10m,3,100,100,1,Displaced,6,0.0742673413451402,0.013442100375622469,0.6111111111111112,0.3849001794597506,0.12268668151021091,0.02111572141671917,0.1139535423751931,0.021762978708096122,0.10521327966719878,0.018714294128628486,0.38888888888888884,0.3849001794597506,0.9257326586548599,0.013442100375622486,0.49333333333333335,0.35133080327994776,0.03648961561436096,0.11371758265599093,0.38095238095238093,0.8095238095238096,0.06732045876659128,0.18011012895380743,0.10142074273281869,0.17651054686506365,0.19047619047619047,0.6190476190476191,0.886282417344009,0.9635103843856391,0.39795918367346933,0.5915032679738562
yolov10m,YOLOv10m,3,100,100,2,Fractured,2,0.5666666666666667,0.40414518843273806,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.9834983498349835,0.028581696494535954,0.0,0.0,0.43333333333333335,0.40414518843273806,0.03333333333333333,0.041633319989322654,0.49206349206349204,0.7619047619047619,1.0,1.0,0.5833333333333334,0.8148148148148149,1.0,1.0,0.0,0.0,0.2380952380952381,0.507936507936508,0.01346801346801347,0.053874458874458866
yolov10m,YOLOv10m,3,100,100,3,Inverted,4,0.8148148148148149,0.3207501495497921,1.0,0.0,0.8717948717948718,0.22205779584216379,1.0,0.0,1.0,0.0,0.0,0.0,0.1851851851851852,0.3207501495497921,0.016666666666666666,0.028867513459481294,0.7777777777777777,0.8888888888888888,1.0,1.0,0.8333333333333334,0.9333333333333332,1.0,1.0,0.0,0.0,0.11111111111111112,0.22222222222222224,0.006666666666666667,0.02693602693602694
yolov10m,YOLOv10m,3,100,100,4,Missing,5,1.0,0.0,0.9333333333333332,0.11547005383792514,0.9629629629629629,0.06415002990995838,1.0,0.0,0.9292019366771841,0.039121622139102655,0.06666666666666665,0.11547005383792512,0.0,0.0,0.0,0.0,1.0,1.0,0.75,1.0,0.7999999999999999,1.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0
yolov10m,YOLOv10m,3,100,100,5,Normal,582,0.9889282077497986,0.004622639263748703,0.9123711340206185,0.02838953890353662,0.9489103781112244,0.013439646775262526,0.9814652472746531,0.011970726397396244,0.9614261041981629,0.013673524697343594,0.08762886597938147,0.02838953890353662,0.011071792250201495,0.004622639263748703,0.06,0.02645751311064591,0.9837891959211416,0.9936990425841794,0.889267461669506,0.935657749981162,0.9361608025471869,0.9617871899563997,0.9768988052017544,0.9888579483704594,0.06434225001883806,0.11073253833049401,0.006300957415820669,0.016210804078858453,0.033670033670033676,0.08843537414965986
