model,model_label,seed,class_id,class,operating_threshold,n_gt,tp,fp,fn,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,0,Damage,0.41,20,11,17,9,0.39285714285714285,0.55,0.45833333333333337,0.5285495521282951,0.4419386710444357,0.44999999999999996,0.6071428571428572,0.17
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,1,Normal,0.41,582,529,4,53,0.9924953095684803,0.9089347079037801,0.9488789237668162,0.9983855891677329,0.9491291335299298,0.09106529209621994,0.007504690431519689,0.04
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,0,Damage,0.35,20,15,75,5,0.16666666666666666,0.75,0.27272727272727276,0.7066052611263333,0.6022505064633504,0.25,0.8333333333333334,0.75
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,1,Normal,0.35,582,557,9,25,0.9840989399293286,0.9570446735395189,0.9703832752613241,0.99847056378985,0.9643537972499738,0.04295532646048106,0.01590106007067138,0.09
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,0,Damage,0.32,20,17,75,3,0.18478260869565216,0.85,0.30357142857142855,0.726753286646481,0.577341975373865,0.15000000000000002,0.8152173913043479,0.75
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,1,Normal,0.32,582,554,6,28,0.9892857142857143,0.9518900343642611,0.9702276707530648,0.9982074450996238,0.9517038612488671,0.04810996563573888,0.010714285714285676,0.06
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,0,Damage,0.33,20,20,187,0,0.0966183574879227,1.0,0.1762114537444934,0.6147165456395128,0.5421688556865585,0.0,0.9033816425120773,1.87
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,1,Normal,0.33,582,550,12,32,0.9786476868327402,0.9450171821305842,0.9615384615384615,0.9869889493826807,0.9534754162861196,0.054982817869415834,0.02135231316725983,0.12
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,0,Damage,0.47,20,20,155,0,0.11428571428571428,1.0,0.20512820512820512,0.49249568584603126,0.4267865991107384,0.0,0.8857142857142857,1.55
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,1,Normal,0.47,582,523,2,59,0.9961904761904762,0.8986254295532646,0.944896115627823,0.9941342363045422,0.9644965185174301,0.10137457044673537,0.003809523809523818,0.02
