model,model_label,seed,operating_threshold,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,0.41,0.36911958863178373,0.47926689576174114,0.4043586085065905,0.5281289194872878,0.4709391842148594,0.5207331042382589,0.44632061705232434,0.041666666666666664
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,0.35,0.4948152220826852,0.7983963344788086,0.5694923746913477,0.7538155010056791,0.6839599563073389,0.20160366552119133,0.5051847779173148,0.14166666666666666
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,0.32,0.4402404295051354,0.8253150057273769,0.5159600598257365,0.6946708450530537,0.5994053324439591,0.17468499427262316,0.5597595704948646,0.1366666666666667
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,0.33,0.3614386931470716,0.9908361970217641,0.4185446068339056,0.7530639776463023,0.6889744234177592,0.009163802978235972,0.6385613068529284,0.3316666666666667
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,0.47,0.45390990196545755,0.9553264604810998,0.5344985819193838,0.6855417551608608,0.6268863062808467,0.04467353951890033,0.5460900980345426,0.26333333333333336
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,0.41,0.5296658821851377,0.8709908361970218,0.5361882709366421,0.743933044731055,0.6807538038905524,0.12900916380297825,0.47033411781486234,0.2366666666666667
fcos_r50_fpn,FCOS R50-FPN,20260908,0.29,0.14822073889813467,1.0,0.16478837398598603,0.1730713136911958,0.16613340715578076,0.0,0.8517792611018654,5.115
fcos_r50_fpn,FCOS R50-FPN,20260909,0.52,0.36328828828828824,0.3410939289805269,0.3498643447536122,0.4504114684351583,0.40781909920566267,0.6589060710194731,0.6367117117117117,0.04833333333333334
fcos_r50_fpn,FCOS R50-FPN,20260910,0.51,0.20411036036036037,0.19301260022909508,0.19716070414537193,0.29724178771445536,0.2821348064569611,0.8069873997709051,0.7550675675675675,0.041666666666666664
rtdetr_l,RT-DETR-L,20260908,0.38,0.12336561404373597,0.670847651775487,0.1637751942084111,0.19370950478160473,0.17902824409498022,0.3291523482245131,0.876634385956264,1.4016666666666666
rtdetr_l,RT-DETR-L,20260909,0.34,0.14739952718676122,0.29914089347079037,0.1884873949579832,0.39343650239205097,0.3713365717909283,0.7008591065292097,0.5578014184397163,0.4716666666666667
rtdetr_l,RT-DETR-L,20260910,0.44,0.039943530974921114,0.13774341351660938,0.061928672589159274,0.2109778018820049,0.19825307842705933,0.8622565864833907,0.9201129380501577,2.61
yolo11m,YOLO11m,20260908,0.57,0.6236505766580954,0.8204467353951891,0.6672546157381126,0.7907427140334563,0.7544085019165507,0.179553264604811,0.37634942334190447,0.075
yolo11m,YOLO11m,20260909,0.36,0.679787290898402,0.9395761741122565,0.7412215713091155,0.8359285424554944,0.795787957039057,0.06042382588774342,0.320212709101598,0.05833333333333334
yolo11m,YOLO11m,20260910,0.36,0.7626707574525411,0.9839633447880871,0.7933078873956904,0.8458691056757025,0.823712583530055,0.016036655211912942,0.23732924254745888,0.125
yolov10m,YOLOv10m,20260908,0.2,0.5829127446774506,0.9530355097365408,0.6658286158286159,0.8223856940488551,0.808656023703685,0.046964490263459335,0.4170872553225495,0.15500000000000003
yolov10m,YOLOv10m,20260909,0.24,0.7614908073541167,0.706930126002291,0.7271821909783246,0.7916683510544272,0.7590333904394688,0.29306987399770906,0.23850919264588324,0.03333333333333333
yolov10m,YOLOv10m,20260910,0.12,0.5696016299233095,0.9573310423825889,0.614756012363371,0.8156685510417727,0.795619034906997,0.04266895761741122,0.43039837007669046,0.14833333333333332
