model,model_label,seed,class_id,class,operating_threshold,n_gt,tp,fp,fn,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,0,Deformed,0.41,3,0,0,3,0.0,0.0,0.0,0.14635256629111187,0.1305565039262547,1.0,nan,0.0
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,1,Displaced,0.41,6,1,17,5,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.07035785085667828,0.06016446076083606,0.8333333333333334,0.9444444444444444,0.17
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,2,Fractured,0.41,2,2,2,0,0.5,1.0,0.6666666666666666,0.7524752475247525,0.6898514851485149,0.0,0.5,0.02
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,3,Inverted,0.41,4,0,0,4,0.0,0.0,0.0,0.3497171145685999,0.31474540311173993,1.0,nan,0.0
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,4,Missing,0.41,5,4,2,1,0.6666666666666666,0.8,0.7272727272727272,0.8514851485148515,0.6811881188118811,0.19999999999999996,0.33333333333333337,0.02
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,5,Normal,0.41,582,529,4,53,0.9924953095684803,0.9089347079037801,0.9488789237668162,0.9983855891677329,0.9491291335299298,0.09106529209621994,0.007504690431519689,0.04
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,0,Deformed,0.35,3,2,39,1,0.04878048780487805,0.6666666666666666,0.0909090909090909,0.42442244224422454,0.37973597359735983,0.33333333333333337,0.9512195121951219,0.39
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,1,Displaced,0.35,6,1,31,5,0.03125,0.16666666666666666,0.05263157894736842,0.09999999999999998,0.0844224422442244,0.8333333333333334,0.96875,0.31
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,2,Fractured,0.35,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.9,0.0,0.5,0.02
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,3,Inverted,0.35,4,4,3,0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.9752475247524753,0.0,0.4285714285714286,0.03
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,4,Missing,0.35,5,5,1,0,0.8333333333333334,1.0,0.9090909090909091,1.0,0.8,0.0,0.16666666666666663,0.01
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,5,Normal,0.35,582,557,9,25,0.9840989399293286,0.9570446735395189,0.9703832752613241,0.99847056378985,0.9643537972499738,0.04295532646048106,0.01590106007067138,0.09
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,0,Deformed,0.32,3,1,16,2,0.058823529411764705,0.3333333333333333,0.1,0.060092095703721364,0.04957725123806247,0.6666666666666667,0.9411764705882353,0.16
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,1,Displaced,0.32,6,4,36,2,0.1,0.6666666666666666,0.1739130434782609,0.15923048001002635,0.14871523861246885,0.33333333333333337,0.9,0.36
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,2,Fractured,0.32,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.9,0.0,0.5,0.02
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,3,Inverted,0.32,4,4,21,0,0.16,1.0,0.2758620689655173,0.9504950495049505,0.8356435643564357,0.0,0.84,0.21
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,4,Missing,0.32,5,5,1,0,0.8333333333333334,1.0,0.9090909090909091,1.0,0.7107920792079208,0.0,0.16666666666666663,0.01
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,5,Normal,0.32,582,554,6,28,0.9892857142857143,0.9518900343642611,0.9702276707530648,0.9982074450996238,0.9517038612488671,0.04810996563573888,0.010714285714285676,0.06
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,0,Deformed,0.33,3,3,53,0,0.05357142857142857,1.0,0.10169491525423728,0.6442715700141444,0.5882602545968882,0.0,0.9464285714285714,0.53
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,1,Displaced,0.33,6,6,84,0,0.06666666666666667,1.0,0.125,0.13464809895623708,0.12346400493707907,0.0,0.9333333333333333,0.84
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,2,Fractured,0.33,2,2,30,0,0.0625,1.0,0.11764705882352941,0.7524752475247525,0.6772277227722772,0.0,0.9375,0.3
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,3,Inverted,0.33,4,4,19,0,0.17391304347826086,1.0,0.29629629629629634,1.0,0.9504950495049505,0.0,0.8260869565217391,0.19
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,4,Missing,0.33,5,5,1,0,0.8333333333333334,1.0,0.9090909090909091,1.0,0.8409240924092408,0.0,0.16666666666666663,0.01
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,5,Normal,0.33,582,550,12,32,0.9786476868327402,0.9450171821305842,0.9615384615384615,0.9869889493826807,0.9534754162861196,0.054982817869415834,0.02135231316725983,0.12
