image,source_group,bootstrap_stratum
17488ba1-右轨右2反装.jpg,defect_view_右轨右2反装,Inverted
da094108-右轨右3断裂.jpg,defect_view_右轨右3断裂,Fractured
5dda4345-右轨左1丢失.jpg,defect_view_右轨左1丢失,Missing
bd3c0e0b-右轨左1丢失2.jpg,defect_view_右轨左1丢失,Missing
05fe59bd-右轨左2丢失.jpg,defect_view_右轨左2丢失,Missing
1d0fe76d-右轨左2反装.jpg,defect_view_右轨左2反装,Inverted
dbe6f3c6-右轨左2变形.jpg,defect_view_右轨左2变形,Deformed
7f743b5a-右轨左2断裂.jpg,defect_view_右轨左2断裂,Fractured
5ecd69e4-右轨左2移位.jpg,defect_view_右轨左2移位,Displaced
7036570c-右轨左2移位2.jpg,defect_view_右轨左2移位,Displaced
2ec2fbe4-左轨右1反装.jpg,defect_view_左轨右1反装,Inverted
aaa68853-左轨右1移位.jpg,defect_view_左轨右1移位,Displaced
8ac3c047-左轨右2变形.jpg,defect_view_左轨右2变形,Deformed
d0ca36a4-左轨右2变形2.jpg,defect_view_左轨右2变形,Deformed
b0e74bbe-左轨左1丢失.jpg,defect_view_左轨左1丢失,Missing
34d1e8f4-左轨左2反装.jpg,defect_view_左轨左2反装,Inverted
56ca79aa-左轨左2移位2.jpg,defect_view_左轨左2移位,Displaced
e87e3a42-左轨左2移位.jpg,defect_view_左轨左2移位,Displaced
c03c6e17-左轨左3丢失.jpg,defect_view_左轨左3丢失,Missing
6a14fbba-左轨左3移位.jpg,defect_view_左轨左3移位,Displaced
655a8f80-右轨正常1.jpg,normal_pair_01,Normal-only
af00ccef-左轨正常1.jpg,normal_pair_01,Normal-only
8af7d1f7-左轨正常2.jpg,normal_pair_02,Normal-only
e76c0967-右轨正常2.jpg,normal_pair_02,Normal-only
397777af-左轨正常3.jpg,normal_pair_03,Normal-only
d715a364-右轨正常3.jpg,normal_pair_03,Normal-only
12aad252-右轨正常4.jpg,normal_pair_04,Normal-only
246ccb34-左轨正常4.jpg,normal_pair_04,Normal-only
82e94809-左轨正常5.jpg,normal_pair_05,Normal-only
bb2b2e53-右轨正常5.jpg,normal_pair_05,Normal-only
f1cd0532-左轨正常6.jpg,normal_pair_06,Normal-only
fd6681a6-右轨正常6.jpg,normal_pair_06,Normal-only
4c55df04-左轨正常7.jpg,normal_pair_07,Normal-only
e264b81d-右轨正常7.jpg,normal_pair_07,Normal-only
403289ef-右轨正常8.jpg,normal_pair_08,Normal-only
6d9e5820-左轨正常8.jpg,normal_pair_08,Normal-only
58d56fcd-右轨正常9.jpg,normal_pair_09,Normal-only
5c190c08-左轨正常9.jpg,normal_pair_09,Normal-only
b672474f-左轨正常10.jpg,normal_pair_10,Normal-only
d2a91393-右轨正常10.jpg,normal_pair_10,Normal-only
4f734ef6-右轨正常11.jpg,normal_pair_11,Normal-only
d4e4159e-左轨正常11.jpg,normal_pair_11,Normal-only
3768c76b-左轨正常12.jpg,normal_pair_12,Normal-only
b1967188-右轨正常12.jpg,normal_pair_12,Normal-only
04f907e4-左轨正常13.jpg,normal_pair_13,Normal-only
eb81f3f3-右轨正常13.jpg,normal_pair_13,Normal-only
66ce7e08-右轨正常14.jpg,normal_pair_14,Normal-only
c6980c27-左轨正常14.jpg,normal_pair_14,Normal-only
0482f92c-右轨正常15.jpg,normal_pair_15,Normal-only
aca294ac-左轨正常15.jpg,normal_pair_15,Normal-only
1977c313-右轨正常16.jpg,normal_pair_16,Normal-only
b37e48ea-左轨正常16.jpg,normal_pair_16,Normal-only
31d730e7-左轨正常17.jpg,normal_pair_17,Normal-only
4237d095-右轨正常17.jpg,normal_pair_17,Normal-only
d73ea0ac-左轨正常18.jpg,normal_pair_18,Normal-only
e225b7ba-右轨正常18.jpg,normal_pair_18,Normal-only
28d39bfb-右轨正常19.jpg,normal_pair_19,Normal-only
45e2f6ce-左轨正常19.jpg,normal_pair_19,Normal-only
36556979-右轨正常20.jpg,normal_pair_20,Normal-only
a4d99d08-左轨正常20.jpg,normal_pair_20,Normal-only
21680426-左轨正常21.jpg,normal_pair_21,Normal-only
419a8f59-右轨正常21.jpg,normal_pair_21,Normal-only
217b851c-右轨正常22.jpg,normal_pair_22,Normal-only
2dc7a493-左轨正常22.jpg,normal_pair_22,Normal-only
2866856b-右轨正常23.jpg,normal_pair_23,Normal-only
fab9ca7e-左轨正常23.jpg,normal_pair_23,Normal-only
7aaffbca-右轨正常24.jpg,normal_pair_24,Normal-only
98e7c2a5-左轨正常24.jpg,normal_pair_24,Normal-only
8af83c47-右轨正常25.jpg,normal_pair_25,Normal-only
eb059a2f-左轨正常25.jpg,normal_pair_25,Normal-only
c6916b00-左轨正常26.jpg,normal_pair_26,Normal-only
f247310f-右轨正常26.jpg,normal_pair_26,Normal-only
5c514f5a-右轨正常27.jpg,normal_pair_27,Normal-only
af9a91a2-左轨正常27.jpg,normal_pair_27,Normal-only
0ea85b27-右轨正常28.jpg,normal_pair_28,Normal-only
4c574625-左轨正常28.jpg,normal_pair_28,Normal-only
b17e8682-右轨正常29.jpg,normal_pair_29,Normal-only
cfa1d6c7-左轨正常29.jpg,normal_pair_29,Normal-only
1ca19d05-右轨正常30.jpg,normal_pair_30,Normal-only
e8dd9258-左轨正常30.jpg,normal_pair_30,Normal-only
1051f842-右轨正常31.jpg,normal_pair_31,Normal-only
a634af99-左轨正常31.jpg,normal_pair_31,Normal-only
8338400b-左轨正常32.jpg,normal_pair_32,Normal-only
