model,seed,threshold,checkpoint_sha256,epochs_completed,train_seconds,inference_seconds
fasterrcnn_r50_fpn_v2,20260908,0.41,68e783e327d907e38f819c4a84de5d682be22ed56d6a64929d2675ef593cb4b7,13,289.9766900539398,8.322754621505737
fasterrcnn_r50_fpn_v2,20260909,0.35,b3d53a629f00bba42c2d19c6f32b1884f230e0d1c09c7249e4db20ab5837cbcc,13,282.32083892822266,8.244792699813843
fasterrcnn_r50_fpn_v2,20260910,0.32,2695e66c2476250220657530a02f3844bda6141a56b0afa48a75b7029b8af221,13,280.2126271724701,8.497245073318481
retinanet_r50_fpn_v2,20260908,0.33,2e71fd140a2ab814e8cc2f670dfdd4bdf40931612e457dc03031547f149f9ee9,19,311.59093976020813,7.427446365356445
retinanet_r50_fpn_v2,20260909,0.47,13e0e67574476ae4894b6e450445e776bf05442d185a942d743c34316351af7e,19,299.96758246421814,6.988426685333252
retinanet_r50_fpn_v2,20260910,0.41,9d872f1974f818b73477bb12f5818b5bfcf467c0e0b7a9fd573981d3c78b9905,19,300.14471888542175,7.175208568572998
fcos_r50_fpn,20260908,0.29,03536bbbdf1851b411a0d3bec2a1dccc5e9e1b1588191b1debc8557898942046,20,279.60770201683044,7.32427978515625
fcos_r50_fpn,20260909,0.52,4be306a7302af66f3b868816cb6b004d2eb135e77ef7a6c4fd7185cae62a045d,20,279.4468729496002,7.01611065864563
fcos_r50_fpn,20260910,0.51,1da97695b67ef8ec69e855b606e6dffcb2d7b1cf3f45227e75a92f8727997a19,20,277.9336438179016,6.815836429595947
rtdetr_l,20260908,0.38,c7cded883b28095ff41ffffe12a6f30b087d054d0fefb1de6adc40ce007128ee,100,2626.889130115509,16.009384870529175
rtdetr_l,20260909,0.34,96acf04cc955a81168a4b2e6ee047e00d41011b28941a472d8e133f5eba15126,100,2654.1899144649506,16.100497245788574
rtdetr_l,20260910,0.44,fc2b8203bff2b5c777c8c60c60533e4fa3c07dcdd9f332bca33aceda626d0911,100,2636.761841773987,17.38903832435608
yolo11m,20260908,0.57,65df590be23d7c10261b795310e5b3b608e3b70f7a73babe7e2f285a05089a68,100,1577.6525740623474,15.545289754867554
yolo11m,20260909,0.36,decf80bb79b868bf77f7c690d1b21c73e353c586799f75a33042687728bca3b7,100,1559.14693069458,11.972533464431763
yolo11m,20260910,0.36,dc66da5cf986225c1572200aba5956da6ff0c29095509ec8fb4bfcd54d1286c2,100,1524.9955732822418,15.354750394821167
yolov10m,20260908,0.2,336f73b4b66d14cac90e66a71db1048633a48f629cd299ddb77e32d1bd426a89,100,1355.140290260315,15.261038303375244
yolov10m,20260909,0.24,bf8c91d665d5e2dca77f1ba9c7f82f3ca9c29ac1c6a4696d8034a346fd12827f,100,1319.4717111587524,13.634793519973755
yolov10m,20260910,0.12,234d2c268b5af21d904698cd857a100be7195334e9638ff5ac22e59280ad2c2a,100,1271.1290640830994,14.758904218673706
