model,model_label,seed,outer_fold,operating_threshold,validation_macro_f1,n_validation_images,n_test_images
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,0,0.32,0.7457091237579042,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,1,0.61,0.9460916442048518,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,2,0.3,0.7434647920886454,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,3,0.41,0.8579656211235159,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,4,0.5,0.8749178981937602,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,0,0.35,0.7838007910823445,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,1,0.43,0.8363306821250746,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,2,0.19,0.5107912659368582,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,3,0.6,0.823090637221072,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,4,0.22,0.6793183940242763,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,0,0.35,0.761280718562272,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,1,0.5,0.9328641309773387,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,2,0.24,0.6707070707070707,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,3,0.32,0.7393176024754972,20,20
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,4,0.19,0.7090266702108807,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,0,0.33,0.5020545762481247,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,1,0.37,0.6254919222809131,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,2,0.27,0.5681829209121786,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,3,0.31,0.533682514101531,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,4,0.36,0.5626543209876543,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,0,0.51,0.7208900600204947,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,1,0.55,0.8231744777953308,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,2,0.46,0.7230088495575222,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,3,0.47,0.7416639081981685,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,4,0.33,0.606766472963656,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,0,0.38,0.5920312392010505,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,1,0.41,0.5599315567205475,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,2,0.41,0.6884959460071567,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,3,0.43,0.6209275667219593,20,20
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,4,0.84,0.16176470588235295,20,20
fcos_r50_fpn,FCOS R50-FPN,20260908,0,0.32,0.18604776995567737,20,20
fcos_r50_fpn,FCOS R50-FPN,20260908,1,0.29,0.19576719576719573,20,20
fcos_r50_fpn,FCOS R50-FPN,20260908,2,0.29,0.18169780810854105,20,20
fcos_r50_fpn,FCOS R50-FPN,20260908,3,0.31,0.19293234161297632,20,20
fcos_r50_fpn,FCOS R50-FPN,20260908,4,0.27,0.1841115306657816,20,20
fcos_r50_fpn,FCOS R50-FPN,20260909,0,0.58,0.601541514041514,20,20
fcos_r50_fpn,FCOS R50-FPN,20260909,1,0.54,0.5859788359788359,20,20
fcos_r50_fpn,FCOS R50-FPN,20260909,2,0.52,0.47507492507492505,20,20
fcos_r50_fpn,FCOS R50-FPN,20260909,3,0.48,0.5113006711330925,20,20
fcos_r50_fpn,FCOS R50-FPN,20260909,4,0.47,0.6675315425315426,20,20
fcos_r50_fpn,FCOS R50-FPN,20260910,0,0.65,0.15503875968992245,20,20
fcos_r50_fpn,FCOS R50-FPN,20260910,1,0.46,0.4695873463315324,20,20
fcos_r50_fpn,FCOS R50-FPN,20260910,2,0.37,0.2810213940648723,20,20
fcos_r50_fpn,FCOS R50-FPN,20260910,3,0.51,0.4537304635896185,20,20
fcos_r50_fpn,FCOS R50-FPN,20260910,4,0.66,0.1594896331738437,20,20
rtdetr_l,RT-DETR-L,20260908,0,0.22,0.15244684768494293,20,20
rtdetr_l,RT-DETR-L,20260908,1,0.57,0.7142642642642641,20,20
rtdetr_l,RT-DETR-L,20260908,2,0.38,0.4160844349350097,20,20
rtdetr_l,RT-DETR-L,20260908,3,0.49,0.5067100087287542,20,20
rtdetr_l,RT-DETR-L,20260908,4,0.22,0.1962346261463962,20,20
rtdetr_l,RT-DETR-L,20260909,0,0.55,0.48097961406784934,20,20
rtdetr_l,RT-DETR-L,20260909,1,0.2,0.28451114777751463,20,20
rtdetr_l,RT-DETR-L,20260909,2,0.51,0.076162215628091,20,20
rtdetr_l,RT-DETR-L,20260909,3,0.34,0.392830368916716,20,20
rtdetr_l,RT-DETR-L,20260909,4,0.21,0.4140915210981242,20,20
rtdetr_l,RT-DETR-L,20260910,0,0.46,0.077319587628866,20,20
rtdetr_l,RT-DETR-L,20260910,1,0.43,0.04398148148148149,20,20
rtdetr_l,RT-DETR-L,20260910,2,0.54,0.536265281834902,20,20
rtdetr_l,RT-DETR-L,20260910,3,0.28,0.35804254225306864,20,20
rtdetr_l,RT-DETR-L,20260910,4,0.44,0.5646127170320718,20,20
yolo11m,YOLO11m,20260908,0,0.57,0.808913308913309,20,20
yolo11m,YOLO11m,20260908,1,0.2,0.5543752543752544,20,20
yolo11m,YOLO11m,20260908,2,0.35,0.7083401348107231,20,20
yolo11m,YOLO11m,20260908,3,0.57,0.7764360395939344,20,20
yolo11m,YOLO11m,20260908,4,0.57,0.862870498792829,20,20
yolo11m,YOLO11m,20260909,0,0.18,0.5229196729196729,20,20
yolo11m,YOLO11m,20260909,1,0.36,0.7211815961815962,20,20
yolo11m,YOLO11m,20260909,2,0.36,0.4569023569023569,20,20
yolo11m,YOLO11m,20260909,3,0.46,0.789964664964665,20,20
yolo11m,YOLO11m,20260909,4,0.45,0.867363530778165,20,20
yolo11m,YOLO11m,20260910,0,0.5,0.8334027450364085,20,20
yolo11m,YOLO11m,20260910,1,0.19,0.6352534562211981,20,20
yolo11m,YOLO11m,20260910,2,0.55,0.7448452781786116,20,20
yolo11m,YOLO11m,20260910,3,0.25,0.6646825396825397,20,20
yolo11m,YOLO11m,20260910,4,0.36,0.8308702791461412,20,20
yolov10m,YOLOv10m,20260908,0,0.19,0.6586875289461496,20,20
yolov10m,YOLOv10m,20260908,1,0.15,0.6130074282174717,20,20
yolov10m,YOLOv10m,20260908,2,0.32,0.704261796042618,20,20
yolov10m,YOLOv10m,20260908,3,0.21,0.6999194847020934,20,20
yolov10m,YOLOv10m,20260908,4,0.2,0.7149046620744733,20,20
yolov10m,YOLOv10m,20260909,0,0.23,0.4698198198198198,20,20
yolov10m,YOLOv10m,20260909,1,0.09,0.6237980035856117,20,20
yolov10m,YOLOv10m,20260909,2,0.24,0.6080034660679822,20,20
yolov10m,YOLOv10m,20260909,3,0.26,0.7679549114331722,20,20
yolov10m,YOLOv10m,20260909,4,0.38,0.6939847556184189,20,20
yolov10m,YOLOv10m,20260910,0,0.11,0.5918181453392721,20,20
yolov10m,YOLOv10m,20260910,1,0.09,0.6752912759306621,20,20
yolov10m,YOLOv10m,20260910,2,0.19,0.6588183421516755,20,20
yolov10m,YOLOv10m,20260910,3,0.31,0.7616136300346827,20,20
yolov10m,YOLOv10m,20260910,4,0.12,0.57343352221401,20,20
