model,model_label,seed,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi,n_gt,tp,fp,fn
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,0.6846206396931035,0.8163455362877329,0.734212910795407,0.8201911192049195,0.7045925057454635,0.18365446371226715,0.31537936030689656,0.12666666666666668,619,596,76,23
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,0.5756069646322662,0.7913455362877327,0.6482416122429852,0.7805047149638038,0.6642747045092415,0.20865446371226717,0.4243930353677339,0.19500000000000003,619,593,117,26
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,0.5856443030432484,0.8830122029543994,0.6939579972680213,0.8334249614387567,0.6852637728374917,0.11698779704560053,0.4143556969567516,0.19499999999999998,619,604,117,15
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260908,0.4072536878705004,0.5826910725754656,0.47364853097904375,0.5222077710955068,0.4582634066375639,0.41730892742453435,0.5927463121294995,0.31333333333333335,619,567,188,52
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260909,0.6586432112890924,0.7323699421965318,0.683707623379306,0.7440294023346891,0.6624664057571186,0.2676300578034682,0.3413567887109077,0.14833333333333334,619,584,89,35
retinanet_r50_fpn_v2,RetinaNet R50-FPN V2,20260910,0.5220767851281973,0.5294797687861271,0.520114454051754,0.5469793505368684,0.4763668327403125,0.4705202312138728,0.47792321487180267,0.16666666666666666,619,551,100,68
fcos_r50_fpn,FCOS R50-FPN,20260908,0.1419110265486089,0.8157032755298651,0.18264754306179376,0.18822752985214874,0.182383391048951,0.1842967244701349,0.858088973451391,4.956666666666666,619,594,2974,25
fcos_r50_fpn,FCOS R50-FPN,20260909,0.44796491572450065,0.6317276814386642,0.5191515547028781,0.5665758038814783,0.5216143907452668,0.3682723185613359,0.5520350842754994,0.2416666666666667,619,570,145,49
fcos_r50_fpn,FCOS R50-FPN,20260910,0.2532832773124258,0.4336384071933204,0.2977168783858811,0.31244312453024753,0.2974956375069729,0.5663615928066795,0.746716722687574,0.6016666666666667,619,527,361,92
rtdetr_l,RT-DETR-L,20260908,0.16648913283663647,0.7243577392421323,0.24435706177452818,0.40930510683479104,0.3758812697191704,0.2756422607578677,0.8335108671633634,1.97,619,584,1182,35
rtdetr_l,RT-DETR-L,20260909,0.22278738402395795,0.6131181759794476,0.3077390908479048,0.34349205556134077,0.3137004863553744,0.3868818240205523,0.7772126159760421,1.2466666666666666,619,537,748,82
rtdetr_l,RT-DETR-L,20260910,0.37226352842019933,0.4627167630057804,0.39154865672620565,0.2951409255993479,0.2582621962660266,0.5372832369942196,0.6277364715798007,0.6883333333333334,619,393,413,226
yolo11m,YOLO11m,20260908,0.7223234618217402,0.8243577392421324,0.7596288083385933,0.8073686401090313,0.7741919684677487,0.17564226075786768,0.2776765381782598,0.10000000000000002,619,596,60,23
yolo11m,YOLO11m,20260909,0.5800088737002632,0.7323699421965317,0.6432610444850165,0.6967545235879588,0.6656271942688704,0.2676300578034682,0.41999112629973673,0.15333333333333335,619,584,92,35
yolo11m,YOLO11m,20260910,0.670145969036156,0.799678869621066,0.7151830502945752,0.7762863118361479,0.7418021530337088,0.20032113037893387,0.329854030963844,0.12500000000000003,619,594,75,25
yolov10m,YOLOv10m,20260908,0.5403513807941563,0.7817276814386641,0.6306585773842054,0.6978574804149429,0.6696567377580093,0.21827231856133592,0.4596486192058436,0.20166666666666666,619,588,121,31
yolov10m,YOLOv10m,20260909,0.48663377854656975,0.7576910725754656,0.5854080723092167,0.5662338973384728,0.5431723711889215,0.24230892742453436,0.5133662214534302,0.2866666666666667,619,588,172,31
yolov10m,YOLOv10m,20260910,0.454773301489482,0.6983943481053307,0.5304830740078992,0.5801505840041193,0.5516164779308105,0.3016056518946692,0.545226698510518,0.2783333333333334,619,578,167,41
