model,model_label,seed,class_id,class,n_gt,tp,fp,fn,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,0,Deformed,20,12,10,8,0.5454545454545454,0.6,0.5714285714285713,0.7216860432155882,0.6391763579579652,0.4,0.4545454545454546,0.1
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,1,Displaced,20,16,23,4,0.41025641025641024,0.8,0.5423728813559321,0.5322750495370475,0.4503800600482547,0.19999999999999996,0.5897435897435898,0.23
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,2,Fractured,20,15,3,5,0.8333333333333334,0.75,0.7894736842105262,0.8789757654091694,0.7352533476715071,0.25,0.16666666666666663,0.03
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,3,Inverted,20,16,14,4,0.5333333333333333,0.8,0.64,0.8166701583528735,0.6783931325054702,0.19999999999999996,0.4666666666666667,0.14
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,4,Missing,20,19,4,1,0.8260869565217391,0.95,0.8837209302325583,0.9830268741159828,0.7613491226942242,0.050000000000000044,0.17391304347826086,0.04
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260908,5,Normal,519,518,22,1,0.9592592592592593,0.9980732177263969,0.9782813975448537,0.9885128245988554,0.96300301359536,0.0019267822736031004,0.040740740740740744,0.22
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,0,Deformed,20,16,20,4,0.4444444444444444,0.8,0.5714285714285714,0.6980192609304036,0.6151443491069801,0.19999999999999996,0.5555555555555556,0.2
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,1,Displaced,20,8,21,12,0.27586206896551724,0.4,0.32653061224489793,0.40294727467922037,0.3457194314664891,0.6,0.7241379310344828,0.21
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,2,Fractured,20,14,3,6,0.8235294117647058,0.7,0.7567567567567567,0.7636981280545636,0.6370829814329031,0.30000000000000004,0.17647058823529416,0.03
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,3,Inverted,20,17,16,3,0.5151515151515151,0.85,0.6415094339622641,0.8434724137438374,0.702117525791988,0.15000000000000002,0.48484848484848486,0.16
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,4,Missing,20,20,24,0,0.45454545454545453,1.0,0.625,0.9883935761997252,0.7428534919217497,0.0,0.5454545454545454,0.24
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260909,5,Normal,519,518,33,1,0.9401088929219601,0.9980732177263969,0.9682242990654205,0.9864976361750728,0.9427304473353393,0.0019267822736031004,0.05989110707803991,0.33
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,0,Deformed,20,15,19,5,0.4411764705882353,0.75,0.5555555555555556,0.6080757129744121,0.496904387791394,0.25,0.5588235294117647,0.19
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,1,Displaced,20,14,29,6,0.32558139534883723,0.7,0.44444444444444453,0.5955629903649705,0.5048134601229691,0.30000000000000004,0.6744186046511628,0.29
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,2,Fractured,20,18,11,2,0.6206896551724138,0.9,0.7346938775510204,0.8981447870195013,0.7151006695168883,0.09999999999999998,0.3793103448275862,0.11
fasterrcnn_r50_fpn_v2,Faster R-CNN R50-FPN V2,20260910,3,Inverted,20,19,22,1,0.4634146341463415,0.95,0.6229508196721312,0.914050220745027,0.7534269220318511,0.050000000000000044,0.5365853658536586,0.22
